Parameter,Lower_95CI,Upper_95CI
F,0.547212468935272,0.6419748633150724
ka,0.0108805771902482,0.017191548988855537
RC2,0.7027591254545245,0.7817272561960724
CL,0.0052651391428566,0.005737582546792287
kdegp,0.8903498989651937,1.0507936410192575
